dt,price_p05,price_p95,n_stores,precpt,avg_temperature,avg_humidity,avg_wind_level,holiday_flag,activity_flag,management_group_id,first_category_id,second_category_id,third_category_id,dow,day_of_month,week_of_year,month,product_id
2024-03-28,1.1361024475886297,1.1676254417622178,-0.5888810231351005,-0.298690201817156,-1.9360294669314144,0.6217563512068892,-0.4393490842972207,0,0,6,8,2,76,3,28,13,3,0
2024-03-29,1.1331285196061098,1.1335904433849562,-0.6464024626880079,0.0747793078747772,-2.090905850488521,0.7569949645484373,-0.759561294740489,0,0,6,8,33,77,4,29,13,3,0
2024-03-30,1.1345224670648582,1.1658494215614816,-0.636272116186459,-0.6446143630422305,-1.8251206492028904,0.5778385937922321,0.1222259091783278,1,0,6,8,72,76,5,30,13,3,0
2024-03-31,1.1525916756144696,1.153090898382765,-0.5790036925122141,-0.6148336184494186,-1.8176343642307529,0.589652870323264,-0.5202203026148878,1,0,6,8,21,77,6,31,13,3,0
2024-04-01,1.166641074658401,1.1670961704017675,-0.6232649986972808,-0.116089786256504,-1.892972791696064,0.6898950940324827,-1.0368201744763468,0,0,6,8,50,76,0,1,14,4,0
2024-04-02,1.10275757046543,1.103205873746663,-0.6223844301335134,-0.2743879912861846,-1.7909522344263435,0.4925797736144598,0.7544294429163754,0,0,6,8,68,76,1,2,14,4,0
2024-04-03,1.116243710782736,1.116687685734688,-0.6581853883930523,-0.3573713347131543,-1.6386640800237895,0.5276900427129588,-0.7435275001829339,0,0,6,8,34,77,2,3,14,4,0
2024-04-04,1.1716157151043378,1.2222939023236947,-0.6312516446696768,-0.6924366251244064,-1.8410336322050849,0.4498790832246021,-0.4270255380044152,1,0,6,8,39,76,3,4,14,4,0
2024-04-05,1.0438145688396034,1.1645962546429052,-0.5752721867493451,-0.5869444537127605,-1.7111155032468757,0.3083717988434424,-0.8561794089812593,1,0,6,8,21,77,4,5,14,4,0
2024-04-06,1.106378400406593,1.138545868810449,-0.5498884934162742,-0.38886547663465,-1.5224792257013802,0.6975143495065331,-0.5743683449585579,1,0,6,8,21,77,5,6,14,4,0
2024-04-07,1.1589884190624709,1.1811214924057625,-0.5650382964252959,-0.4776019944101833,-1.5805136386137957,0.9206704171992448,-1.647489779711819,0,0,6,8,49,76,6,7,14,4,0
2024-04-08,1.2385943908907378,1.2390188957791792,-0.5870873175247358,-0.589092993455891,-1.6586542484155022,0.6604393621037509,-1.0401385691535914,0,0,6,8,21,76,0,8,15,4,0
2024-04-09,1.204227183398702,1.20466564283007,-0.6474021860027611,0.0583466338739002,-1.543446769465774,0.761404688736524,0.182050136361635,0,0,6,9,16,77,1,9,15,4,0
2024-04-10,1.1282959080662918,1.128749127253265,-0.5863745987841407,-0.5588055252229532,-1.473871075289558,0.6503143143760348,0.7741676751984491,0,0,6,8,26,76,2,10,15,4,0
2024-04-11,1.1391240488664056,1.139569771433682,-0.5782884692731206,-0.237261775423732,-1.4327144877986264,0.758506814390941,0.0572344552859082,0,0,6,8,36,76,3,11,15,4,0
2024-04-12,1.1021392366639542,1.1025961976221583,-0.5854705333694292,-0.1506141868348895,-1.5352955370631929,0.8705730002985959,-0.236422734000784,0,1,6,8,11,77,4,12,15,4,0
2024-04-13,1.1285052741936838,1.1289249466289135,-0.5972779072237202,-0.3119854917380397,-1.2470311912651248,0.8618153470881249,-0.1561481093883045,1,1,6,8,37,76,5,13,15,4,0
2024-04-14,1.1969531884960145,1.1974014354839633,-0.6033991960899858,-0.1439624188445152,-1.4093752062904692,0.7314091848600245,0.4556457924544181,1,0,6,8,21,77,6,14,15,4,0
2024-04-15,1.1908707903776488,1.2164349464921147,-0.5446317479979997,-0.4350671519800022,-1.2993486154842755,0.636600869605188,-0.2828969382134071,0,0,6,8,70,76,0,15,16,4,0
2024-04-16,1.166676667708116,1.1671386769418726,-0.580700101910379,-0.314292494770738,-1.175503566433867,0.5239031116022081,-0.3869978693418391,0,0,6,9,21,77,1,16,16,4,0
